1, 1, 1, 50.00, 5.00, 7.25, 62.25, 2023-04-14, 1
2, 2, 2, 35.00, 2.50, 4.05, 41.55, 2023-04-14, 2
3, 3, 3, 20.00, 1.00, 2.00, 23.00, 2023-04-14, 3
4, 4, 4, 15.00, 0.75, 1.50, 17.25, 2023-04-14, 4
5, 5, 5, 10.00, 0.50, 1.00, 11.50, 2023-04-14, 5
6, 6, 6, 50.00, 5.00, 7.25, 62.25, 2023-04-14, 1
7, 7, 7, 35.00, 2.50, 4.05, 41.55, 2023-04-14, 2
8, 8, 8, 20.00, 1.00, 2.00, 23.00, 2023-04-14, 3
9, 9, 9, 15.00, 0.75, 1.50, 17.25, 2023-04-14, 4
10, 10, 10, 10.00, 0.50, 1.00, 11.50, 2023-04-14, 5
11, 11, 11, 50.00, 5.00, 7.25, 62.25, 2023-04-14, 1
12, 12, 12, 35.00, 2.50, 4.05, 41.55, 2023-04-14, 2
13, 13, 13, 20.00, 1.00, 2.00, 23.00, 2023-04-14, 3
14, 14, 14, 15.00, 0.75, 1.50, 17.25, 2023-04-14, 4
15, 15, 15, 10.00, 0.50, 1.00, 11.50, 2023-04-14, 5
16, 16, 16, 50.00, 5.00, 7.25, 62.25, 2023-04-14, 1
17, 17, 17, 35.00, 2.50, 4.05, 41.55, 2023-04-14, 2
18, 18, 18, 20.00, 1.00, 2.00, 23.00, 2023-04-14, 3
19, 19, 19, 15.00, 0.75, 1.50, 17.25, 2023-04-14, 4
20, 20, 20, 10.00, 0.50, 1.00, 11.50, 2023-04-14, 5
